"","Station.ID","Total","year","MalePer","LOCATION","LOCATIONID","Longitude","Latitude"
"1",1,75,2008,0.82034632034632,"3RD ST, NW AND SHERIDAN ST, NW","1",-77.0161704700512,38.9661386948218
"2",1,34,2009,0.572115384615385,"3RD ST, NW AND SHERIDAN ST, NW","1",-77.0161704700512,38.9661386948218
"3",1,88,2011,0.739393939393939,"3RD ST, NW AND SHERIDAN ST, NW","1",-77.0161704700512,38.9661386948218
"4",1,174,2012,0.745634920634921,"3RD ST, NW AND SHERIDAN ST, NW","1",-77.0161704700512,38.9661386948218
"5",1,171,2014,0.826333241226858,"3RD ST, NW AND SHERIDAN ST, NW","1",-77.0161704700512,38.9661386948218
"6",2,327,2008,0.679603293413174,"11th St, NW and Florida Ave, NW","2",-77.027038472176,38.9207708594826
"7",2,445,2009,0.676036400404449,"11th St, NW and Florida Ave, NW","2",-77.027038472176,38.9207708594826
"8",2,1148,2011,0.695079372326987,"11th St, NW and Florida Ave, NW","2",-77.027038472176,38.9207708594826
"9",2,1103,2012,0.688112636187091,"11th St, NW and Florida Ave, NW","2",-77.027038472176,38.9207708594826
"10",2,1332,2014,0.673344005050277,"11th St, NW and Florida Ave, NW","2",-77.027038472176,38.9207708594826
"11",3,234,2008,0.698038641686183,"13th St, NW and Massachusetts Ave, NW","3",-77.02962530103,38.9048423658749
"12",3,316,2009,0.724587141253808,"13th St, NW and Massachusetts Ave, NW","3",-77.02962530103,38.9048423658749
"13",3,209,2011,0.749907097733185,"13th St, NW and Massachusetts Ave, NW","3",-77.02962530103,38.9048423658749
"14",3,290,2012,0.772430862963492,"13th St, NW and Massachusetts Ave, NW","3",-77.02962530103,38.9048423658749
"15",3,347,2014,0.760184999666066,"13th St, NW and Massachusetts Ave, NW","3",-77.02962530103,38.9048423658749
"16",4,266,2008,0.823599240265907,"14th St, NW and Oak St, NW","4",-77.0327343879154,38.934128734587
"17",4,412,2009,0.824703478520881,"14th St, NW and Oak St, NW","4",-77.0327343879154,38.934128734587
"18",4,701,2011,0.803915838690824,"14th St, NW and Oak St, NW","4",-77.0327343879154,38.934128734587
"19",4,750,2012,0.81275520124441,"14th St, NW and Oak St, NW","4",-77.0327343879154,38.934128734587
"20",4,797,2014,0.800396615213882,"14th St, NW and Oak St, NW","4",-77.0327343879154,38.934128734587
"21",5,430,2008,0.733955938697318,"14th St., NW and S St, NW","5",-77.0319537186025,38.9141015762998
"22",5,742,2009,0.713528932355338,"14th St., NW and S St, NW","5",-77.0319537186025,38.9141015762998
