,bikeCount,counter,date,direction,hour,mode
0,0,1.0,05/20/2016,I,0,B
1,0,1.0,05/20/2016,O,0,B
2,0,1.0,05/20/2016,I,1,B
3,0,1.0,05/20/2016,O,1,B
4,0,1.0,05/20/2016,I,2,B
5,0,1.0,05/20/2016,O,2,B
6,0,1.0,05/20/2016,I,3,B
7,0,1.0,05/20/2016,O,3,B
8,0,1.0,05/20/2016,I,4,B
9,1,1.0,05/20/2016,O,4,B
10,20,1.0,05/20/2016,I,5,B
11,9,1.0,05/20/2016,O,5,B
12,125,1.0,05/20/2016,I,6,B
13,69,1.0,05/20/2016,O,6,B
14,239,1.0,05/20/2016,I,7,B
15,123,1.0,05/20/2016,O,7,B
16,173,1.0,05/20/2016,I,8,B
17,98,1.0,05/20/2016,O,8,B
18,68,1.0,05/20/2016,I,9,B
19,66,1.0,05/20/2016,O,9,B
20,27,1.0,05/20/2016,I,10,B
21,44,1.0,05/20/2016,O,10,B
22,43,1.0,05/20/2016,I,11,B
23,48,1.0,05/20/2016,O,11,B
24,34,1.0,05/20/2016,I,12,B
25,34,1.0,05/20/2016,O,12,B
26,56,1.0,05/20/2016,I,13,B
27,46,1.0,05/20/2016,O,13,B
28,40,1.0,05/20/2016,I,14,B
29,63,1.0,05/20/2016,O,14,B
30,61,1.0,05/20/2016,I,15,B
31,82,1.0,05/20/2016,O,15,B
32,82,1.0,05/20/2016,I,16,B
33,141,1.0,05/20/2016,O,16,B
34,129,1.0,05/20/2016,I,17,B
35,183,1.0,05/20/2016,O,17,B
36,113,1.0,05/20/2016,I,18,B
37,178,1.0,05/20/2016,O,18,B
38,47,1.0,05/20/2016,I,19,B
39,76,1.0,05/20/2016,O,19,B
40,14,1.0,05/20/2016,I,20,B
41,12,1.0,05/20/2016,O,20,B
42,6,1.0,05/20/2016,I,21,B
43,3,1.0,05/20/2016,O,21,B
44,3,1.0,05/20/2016,I,22,B
45,4,1.0,05/20/2016,O,22,B
46,6,1.0,05/20/2016,I,23,B
47,5,1.0,05/20/2016,O,23,B
0,0,2.0,05/20/2016,I,0,B
1,1,2.0,05/20/2016,O,0,B
2,0,2.0,05/20/2016,I,1,B
3,0,2.0,05/20/2016,O,1,B
4,0,2.0,05/20/2016,I,2,B
5,0,2.0,05/20/2016,O,2,B
6,0,2.0,05/20/2016,I,3,B
7,0,2.0,05/20/2016,O,3,B
8,0,2.0,05/20/2016,I,4,B
9,0,2.0,05/20/2016,O,4,B
10,4,2.0,05/20/2016,I,5,B
11,5,2.0,05/20/2016,O,5,B
12,36,2.0,05/20/2016,I,6,B
13,49,2.0,05/20/2016,O,6,B
14,74,2.0,05/20/2016,I,7,B
15,63,2.0,05/20/2016,O,7,B
16,52,2.0,05/20/2016,I,8,B
17,56,2.0,05/20/2016,O,8,B
18,36,2.0,05/20/2016,I,9,B
19,36,2.0,05/20/2016,O,9,B
20,38,2.0,05/20/2016,I,10,B
21,42,2.0,05/20/2016,O,10,B
22,34,2.0,05/20/2016,I,11,B
23,53,2.0,05/20/2016,O,11,B
24,34,2.0,05/20/2016,I,12,B
25,34,2.0,05/20/2016,O,12,B
26,53,2.0,05/20/2016,I,13,B
27,39,2.0,05/20/2016,O,13,B
28,75,2.0,05/20/2016,I,14,B
29,51,2.0,05/20/2016,O,14,B
30,54,2.0,05/20/2016,I,15,B
31,46,2.0,05/20/2016,O,15,B
32,73,2.0,05/20/2016,I,16,B
33,87,2.0,05/20/2016,O,16,B
34,85,2.0,05/20/2016,I,17,B
35,114,2.0,05/20/2016,O,17,B
36,76,2.0,05/20/2016,I,18,B
37,108,2.0,05/20/2016,O,18,B
38,42,2.0,05/20/2016,I,19,B
39,46,2.0,05/20/2016,O,19,B
40,14,2.0,05/20/2016,I,20,B
41,11,2.0,05/20/2016,O,20,B
42,10,2.0,05/20/2016,I,21,B
43,0,2.0,05/20/2016,O,21,B
44,2,2.0,05/20/2016,I,22,B
45,7,2.0,05/20/2016,O,22,B
46,2,2.0,05/20/2016,I,23,B
47,2,2.0,05/20/2016,O,23,B
0,0,3.0,05/20/2016,I,0,B
1,0,3.0,05/20/2016,O,0,B
2,0,3.0,05/20/2016,I,1,B
3,0,3.0,05/20/2016,O,1,B
4,0,3.0,05/20/2016,I,2,B
5,0,3.0,05/20/2016,O,2,B
6,0,3.0,05/20/2016,I,3,B
7,0,3.0,05/20/2016,O,3,B
8,0,3.0,05/20/2016,I,4,B
9,0,3.0,05/20/2016,O,4,B
10,16,3.0,05/20/2016,I,5,B
11,2,3.0,05/20/2016,O,5,B
12,124,3.0,05/20/2016,I,6,B
13,51,3.0,05/20/2016,O,6,B
14,224,3.0,05/20/2016,I,7,B
15,78,3.0,05/20/2016,O,7,B
16,200,3.0,05/20/2016,I,8,B
17,75,3.0,05/20/2016,O,8,B
18,72,3.0,05/20/2016,I,9,B
19,53,3.0,05/20/2016,O,9,B
20,35,3.0,05/20/2016,I,10,B
21,42,3.0,05/20/2016,O,10,B
22,50,3.0,05/20/2016,I,11,B
23,35,3.0,05/20/2016,O,11,B
24,22,3.0,05/20/2016,I,12,B
25,16,3.0,05/20/2016,O,12,B
26,43,3.0,05/20/2016,I,13,B
27,45,3.0,05/20/2016,O,13,B
28,30,3.0,05/20/2016,I,14,B
29,64,3.0,05/20/2016,O,14,B
30,36,3.0,05/20/2016,I,15,B
31,69,3.0,05/20/2016,O,15,B
32,68,3.0,05/20/2016,I,16,B
33,138,3.0,05/20/2016,O,16,B
34,81,3.0,05/20/2016,I,17,B
35,190,3.0,05/20/2016,O,17,B
36,80,3.0,05/20/2016,I,18,B
37,185,3.0,05/20/2016,O,18,B
38,39,3.0,05/20/2016,I,19,B
39,71,3.0,05/20/2016,O,19,B
40,8,3.0,05/20/2016,I,20,B
41,14,3.0,05/20/2016,O,20,B
42,3,3.0,05/20/2016,I,21,B
43,11,3.0,05/20/2016,O,21,B
44,0,3.0,05/20/2016,I,22,B
