,counter,latitude,longitude,name
0,33,38.885315,-77.065022,110 Trail
1,30,38.874260,-77.044610,14th Street Bridge
2,43,38.907470,-77.034610,15th Street NW
3,32,38.845610,-77.096046,Arlington Mill Trail
4,24,38.882950,-77.121235,Ballston Connector
5,23,38.880476,-77.119311,Bluemont Connector
6,47,38.979500,-77.096760,Capital Crescent Trail #1
7,48,38.943070,-77.115660,Capital Crescent Trail #2
8,10,38.857702,-77.047373,CC Connector
9,20,38.888780,-77.090421,Clarendon EB bike lane
10,35,38.831730,-77.059280,Commonwealth Bike Lanes
11,18,38.857315,-77.049152,Crystal NB bike lane
12,17,38.853969,-77.049544,Crystal SB bike lane
13,3,38.879199,-77.138420,Custis Bon Air Park
14,4,38.897191,-77.083031,Custis Rosslyn
15,38,38.802950,-77.088350,Eisenhower Trail
16,44,38.879260,-77.015580,Eye Street SW
17,14,38.882767,-77.104615,Fairfax EB bike lane
18,13,38.883229,-77.103789,Fairfax WB Bike Lane
19,5,38.843262,-77.080860,Four Mile Run (piezo)
20,6,38.843353,-77.080581,Four Mile Run (pyro)
21,42,38.840070,-77.053290,Four Mile Trail
22,37,38.817830,-77.123570,Holmes Run Trail
23,27,38.867264,-77.062829,Joyce St NB
24,26,38.867271,-77.063054,Joyce St SB
25,8,38.900468,-77.070656,Key Bridge East
26,7,38.900539,-77.070900,Key Bridge West
27,45,38.923040,-76.995700,Metropolitan Branch Trail North
28,22,38.905509,-77.109349,Military NB bike lane
29,21,38.905732,-77.109698,Military SB bike lane
30,36,38.839570,-77.046630,Mount Vernon Trail #1
31,34,38.827310,-77.042830,Mount Vernon Trail #2
32,41,38.790290,-77.050940,Mount Vernon Trail #3
33,9,38.844471,-77.048923,MVT Airport South
34,39,38.829850,-77.047850,Potomac Yard Trail #1
35,16,38.885457,-77.108055,Quincy NB bike lane
36,15,38.884877,-77.108075,Quincy SB bike lane
37,31,38.893822,-77.065737,Roosevelt Bridge
38,28,38.899080,-77.070980,Rosslyn Bikeometer
39,11,38.897960,-77.067721,TR Island Bridge
40,2,38.878949,-77.138546,W&OD Bon Air Park
41,25,38.879330,-77.139250,W&OD Bon Air West
42,12,38.857085,-77.110789,W&OD Columbia Pike
43,1,38.887806,-77.163889,W&OD East Falls Church
44,19,38.889855,-77.090175,Wilson WB bike lane
