,bikeCount,counter,date,direction,hour,mode
0,0,2,03/01/2016,I,0,B
1,1,2,03/01/2016,O,0,B
2,0,2,03/01/2016,I,1,B
3,0,2,03/01/2016,O,1,B
4,0,2,03/01/2016,I,2,B
5,0,2,03/01/2016,O,2,B
6,0,2,03/01/2016,I,3,B
7,0,2,03/01/2016,O,3,B
8,0,2,03/01/2016,I,4,B
9,0,2,03/01/2016,O,4,B
10,1,2,03/01/2016,I,5,B
11,1,2,03/01/2016,O,5,B
12,17,2,03/01/2016,I,6,B
13,10,2,03/01/2016,O,6,B
14,29,2,03/01/2016,I,7,B
15,19,2,03/01/2016,O,7,B
16,23,2,03/01/2016,I,8,B
17,16,2,03/01/2016,O,8,B
18,12,2,03/01/2016,I,9,B
19,14,2,03/01/2016,O,9,B
20,10,2,03/01/2016,I,10,B
21,11,2,03/01/2016,O,10,B
22,19,2,03/01/2016,I,11,B
23,30,2,03/01/2016,O,11,B
24,43,2,03/01/2016,I,12,B
25,22,2,03/01/2016,O,12,B
26,36,2,03/01/2016,I,13,B
27,27,2,03/01/2016,O,13,B
28,36,2,03/01/2016,I,14,B
29,29,2,03/01/2016,O,14,B
30,27,2,03/01/2016,I,15,B
31,41,2,03/01/2016,O,15,B
32,28,2,03/01/2016,I,16,B
33,34,2,03/01/2016,O,16,B
34,54,2,03/01/2016,I,17,B
35,54,2,03/01/2016,O,17,B
36,31,2,03/01/2016,I,18,B
37,22,2,03/01/2016,O,18,B
38,10,2,03/01/2016,I,19,B
39,5,2,03/01/2016,O,19,B
40,1,2,03/01/2016,I,20,B
41,3,2,03/01/2016,O,20,B
42,0,2,03/01/2016,I,21,B
43,0,2,03/01/2016,O,21,B
44,0,2,03/01/2016,I,22,B
45,0,2,03/01/2016,O,22,B
46,0,2,03/01/2016,I,23,B
47,0,2,03/01/2016,O,23,B
48,0,2,03/02/2016,I,0,B
49,1,2,03/02/2016,O,0,B
50,0,2,03/02/2016,I,1,B
51,0,2,03/02/2016,O,1,B
52,0,2,03/02/2016,I,2,B
53,0,2,03/02/2016,O,2,B
