Date,,Pyro 08,PyroBox 08_IN,PyroBox 08_OUT
01/03/2016,0:00,0,0,0
01/03/2016,0:15,1,1,0
01/03/2016,0:30,0,0,0
01/03/2016,0:45,0,0,0
01/03/2016,1:00,0,0,0
01/03/2016,1:15,0,0,0
01/03/2016,1:30,0,0,0
01/03/2016,1:45,0,0,0
01/03/2016,2:00,0,0,0
01/03/2016,2:15,0,0,0
01/03/2016,2:30,0,0,0
01/03/2016,2:45,1,0,1
01/03/2016,3:00,0,0,0
01/03/2016,3:15,0,0,0
01/03/2016,3:30,0,0,0
01/03/2016,3:45,0,0,0
01/03/2016,4:00,1,0,1
01/03/2016,4:15,1,0,1
01/03/2016,4:30,1,0,1
01/03/2016,4:45,14,1,13
01/03/2016,5:00,15,11,4
01/03/2016,5:15,7,1,6
01/03/2016,5:30,7,3,4
01/03/2016,5:45,18,5,13
01/03/2016,6:00,11,2,9
01/03/2016,6:15,13,5,8
01/03/2016,6:30,17,4,13
01/03/2016,6:45,38,7,31
01/03/2016,7:00,20,7,13
01/03/2016,7:15,32,16,16
01/03/2016,7:30,29,8,21
01/03/2016,7:45,43,14,29
01/03/2016,8:00,45,13,32
01/03/2016,8:15,54,12,42
01/03/2016,8:30,37,4,33
01/03/2016,8:45,26,5,21
01/03/2016,9:00,22,4,18
01/03/2016,9:15,13,0,13
01/03/2016,9:30,20,3,17
01/03/2016,9:45,11,2,9
01/03/2016,10:00,13,1,12
01/03/2016,10:15,14,7,7
01/03/2016,10:30,18,7,11
01/03/2016,10:45,14,7,7
01/03/2016,11:00,22,8,14
01/03/2016,11:15,24,8,16
01/03/2016,11:30,36,13,23
01/03/2016,11:45,43,20,23
01/03/2016,12:00,47,21,26
01/03/2016,12:15,54,25,29
01/03/2016,12:30,57,37,20
01/03/2016,12:45,31,15,16
01/03/2016,13:00,53,22,31
01/03/2016,13:15,37,18,19
01/03/2016,13:30,41,20,21
01/03/2016,13:45,18,9,9
01/03/2016,14:00,30,17,13
01/03/2016,14:15,20,10,10
01/03/2016,14:30,29,10,19
01/03/2016,14:45,28,13,15
01/03/2016,15:00,32,18,14
01/03/2016,15:15,27,14,13
01/03/2016,15:30,25,15,10
01/03/2016,15:45,20,10,10
01/03/2016,16:00,43,24,19
01/03/2016,16:15,26,20,6
01/03/2016,16:30,27,17,10
01/03/2016,16:45,30,16,14
01/03/2016,17:00,49,26,23
01/03/2016,17:15,58,44,14
01/03/2016,17:30,65,35,30
01/03/2016,17:45,45,33,12
01/03/2016,18:00,44,34,10
01/03/2016,18:15,38,24,14
01/03/2016,18:30,28,20,8
01/03/2016,18:45,22,14,8
01/03/2016,19:00,13,10,3
01/03/2016,19:15,14,4,10
01/03/2016,19:30,8,5,3
01/03/2016,19:45,8,5,3
01/03/2016,20:00,14,12,2
01/03/2016,20:15,4,2,2
01/03/2016,20:30,6,4,2
01/03/2016,20:45,1,0,1
01/03/2016,21:00,0,0,0
01/03/2016,21:15,4,2,2
01/03/2016,21:30,0,0,0
01/03/2016,21:45,3,3,0
01/03/2016,22:00,3,2,1
01/03/2016,22:15,0,0,0
01/03/2016,22:30,1,1,0
01/03/2016,22:45,1,1,0
01/03/2016,23:00,1,1,0
01/03/2016,23:15,2,2,0
01/03/2016,23:30,0,0,0
01/03/2016,23:45,0,0,0
02/03/2016,0:00,0,0,0
02/03/2016,0:15,0,0,0
02/03/2016,0:30,0,0,0
02/03/2016,0:45,0,0,0
02/03/2016,1:00,0,0,0
02/03/2016,1:15,0,0,0
02/03/2016,1:30,0,0,0
02/03/2016,1:45,0,0,0
02/03/2016,2:00,0,0,0
02/03/2016,2:15,0,0,0
02/03/2016,2:30,0,0,0
02/03/2016,2:45,0,0,0
02/03/2016,3:00,0,0,0
02/03/2016,3:15,0,0,0
02/03/2016,3:30,0,0,0
02/03/2016,3:45,0,0,0
02/03/2016,4:00,0,0,0
02/03/2016,4:15,0,0,0
02/03/2016,4:30,2,1,1
02/03/2016,4:45,0,0,0
02/03/2016,5:00,1,0,1
02/03/2016,5:15,8,0,8
02/03/2016,5:30,5,2,3
02/03/2016,5:45,10,5,5
02/03/2016,6:00,5,1,4
02/03/2016,6:15,16,7,9
02/03/2016,6:30,24,9,15
02/03/2016,6:45,19,5,14
02/03/2016,7:00,22,12,10
02/03/2016,7:15,13,7,6
02/03/2016,7:30,20,2,18
02/03/2016,7:45,17,3,14
02/03/2016,8:00,26,6,20
02/03/2016,8:15,18,0,18
02/03/2016,8:30,23,5,18
02/03/2016,8:45,17,2,15
02/03/2016,9:00,13,1,12
02/03/2016,9:15,6,0,6
02/03/2016,9:30,7,0,7
02/03/2016,9:45,8,3,5
02/03/2016,10:00,10,4,6
02/03/2016,10:15,5,1,4
02/03/2016,10:30,5,2,3
02/03/2016,10:45,5,3,2
02/03/2016,11:00,4,0,4
02/03/2016,11:15,9,6,3
02/03/2016,11:30,4,0,4
02/03/2016,11:45,7,3,4
02/03/2016,12:00,9,5,4
02/03/2016,12:15,13,6,7
02/03/2016,12:30,15,6,9
02/03/2016,12:45,6,3,3
02/03/2016,13:00,7,1,6
02/03/2016,13:15,5,4,1
02/03/2016,13:30,12,6,6
02/03/2016,13:45,8,1,7
02/03/2016,14:00,11,5,6
02/03/2016,14:15,4,3,1
02/03/2016,14:30,5,2,3
02/03/2016,14:45,6,5,1
02/03/2016,15:00,9,7,2
02/03/2016,15:15,6,5,1
02/03/2016,15:30,5,5,0
02/03/2016,15:45,14,7,7
02/03/2016,16:00,6,5,1
02/03/2016,16:15,5,4,1
02/03/2016,16:30,11,8,3
02/03/2016,16:45,13,5,8
02/03/2016,17:00,18,11,7
02/03/2016,17:15,18,14,4
02/03/2016,17:30,25,20,5
02/03/2016,17:45,21,18,3
02/03/2016,18:00,17,13,4
02/03/2016,18:15,17,14,3
02/03/2016,18:30,11,6,5
02/03/2016,18:45,3,2,1
02/03/2016,19:00,5,4,1
02/03/2016,19:15,10,10,0
02/03/2016,19:30,10,9,1
02/03/2016,19:45,2,2,0
02/03/2016,20:00,4,3,1
02/03/2016,20:15,3,2,1
02/03/2016,20:30,1,1,0
02/03/2016,20:45,7,7,0
02/03/2016,21:00,3,3,0
02/03/2016,21:15,0,0,0
02/03/2016,21:30,1,1,0
02/03/2016,21:45,0,0,0
02/03/2016,22:00,0,0,0
02/03/2016,22:15,0,0,0
02/03/2016,22:30,0,0,0
02/03/2016,22:45,1,1,0
02/03/2016,23:00,0,0,0
02/03/2016,23:15,0,0,0
02/03/2016,23:30,1,1,0
02/03/2016,23:45,0,0,0
03/03/2016,0:00,1,0,1
03/03/2016,0:15,0,0,0
03/03/2016,0:30,0,0,0
03/03/2016,0:45,0,0,0
03/03/2016,1:00,0,0,0
03/03/2016,1:15,1,1,0
03/03/2016,1:30,0,0,0
03/03/2016,1:45,0,0,0
03/03/2016,2:00,0,0,0
03/03/2016,2:15,0,0,0
03/03/2016,2:30,0,0,0
03/03/2016,2:45,0,0,0
03/03/2016,3:00,0,0,0
03/03/2016,3:15,0,0,0
03/03/2016,3:30,0,0,0
03/03/2016,3:45,0,0,0
03/03/2016,4:00,0,0,0
03/03/2016,4:15,0,0,0
03/03/2016,4:30,1,0,1
03/03/2016,4:45,2,0,2
03/03/2016,5:00,2,0,2
03/03/2016,5:15,5,1,4
03/03/2016,5:30,5,2,3
03/03/2016,5:45,8,2,6
03/03/2016,6:00,8,4,4
03/03/2016,6:15,17,12,5
03/03/2016,6:30,8,2,6
03/03/2016,6:45,23,6,17
03/03/2016,7:00,16,7,9
03/03/2016,7:15,26,8,18
